uniqid_eco4,US_L4CODE,US_L4NAME,NA_L3CODE,areakm2
482,48c,Saline Area,9.2.2,900.2
483,48d,Lake Agassiz Plains,9.2.2,9387.4
484,49a,Peatlands,5.2.2,16460.8
485,49b,Forested Lake Plains,5.2.2,6369.7
486,4a,Western Cascades Lowlands and Valleys,6.2.7,17953.3
487,4b,Western Cascades Montane Highlands,6.2.7,13354.0
488,4c,Cascade Crest Montane Forest,6.2.7,5747.2
489,4d,Cascade Subalpine/Alpine,6.2.7,1991.0
490,4e,High Southern Cascades Montane Forest,6.2.7,4588.4
491,4f,Low Southern Cascades Mixed Conifer Forest,6.2.7,9677.7
492,4g,California Cascades Eastside Conifer Forest,6.2.7,4025.0
493,4h,Southern Cascades Foothills,6.2.7,1517.4
494,50a,Lake Superior Clay Plain,5.2.1,6448.3
495,50aa,Menominee-Drummond Lakeshore,5.2.1,6470.9
496,50ab,Cheboygan Lake Plain,5.2.1,3294.4
497,50ac,Onaway Moraines,5.2.1,4595.1
498,50ad,Vanderbilt Moraines,5.2.1,3620.4
499,50ae,Mio Plateau,5.2.1,11656.3
500,50af,Cadillac Hummocky Moraines,5.2.1,7864.4
501,50ag,Newaygo Barrens,5.2.1,4323.2
502,50ah,Tawas Lake Plain,5.2.1,3109.8
503,50b,Minnesota/Wisconsin Upland Till Plain,5.2.1,13373.7
504,50c,St. Croix Pine Barrens,5.2.1,4628.3
505,50d,Superior Mineral Ranges,5.2.1,5126.5
506,50e,Chequamegon Moraines and Outwash Plain,5.2.1,4897.8
507,50f,Blue Hills,5.2.1,1627.3
508,50g,Chippewa Lobe Rocky Ground Moraines,5.2.1,9021.7
509,50h,Perkinstown End Moraines,5.2.1,2109.0
510,50i,Northern Wisconsin Highlands Lakes Country,5.2.1,7201.8
511,50j,Brule and Paint River Drumlins,5.2.1,6874.0
512,50k,Wisconsin/Michigan Pine Barrens,5.2.1,4300.2
513,50l,Menominee Drumlins and Ground Moraine,5.2.1,6124.4
514,50m,Mesabi Range,5.2.1,1360.9
515,50n,Boundary Lakes and Hills,5.2.1,12315.6
516,50o,Glacial Lakes Upham and Aitkin,5.2.1,6387.4
517,50p,Toimi Drumlins,5.2.1,5593.5
518,50q,Itasca and St. Louis Moraines,5.2.1,10171.0
519,50r,Chippewa Plains,5.2.1,8692.3
520,50s,Nashwauk/Marcell Moraines and Uplands,5.2.1,5035.7
521,50t,North Shore Highlands,5.2.1,2876.4
522,50u,Keweenaw-Baraga Moraines,5.2.1,2408.9
523,50v,Winegar Dead Ice Moraine,5.2.1,6395.4
524,50w,Michigamme Highland,5.2.1,3209.1
525,50x,Grand Marais Lakeshore,5.2.1,5338.8
526,50y,Seney-Tahquamenon Sand Plain,5.2.1,3765.2
527,50z,Rudyard Clay Plain,5.2.1,1665.3
528,51a,St. Croix Stagnation Moraines,8.1.4,5814.2
529,51b,Central Wisconsin Undulating Till Plain,8.1.4,16047.4
530,51c,Glacial Lake Wisconsin Sand Plain,8.1.4,7067.6
531,51d,Central Sand Ridges,8.1.4,4085.4
532,51e,Upper Wolf River Stagnation Moraine,8.1.4,2753.8
533,51f,Green Bay Till and Lacustrine Plain,8.1.4,6235.7
534,51g,Door Peninsula,8.1.4,1380.5
535,51h,Anoka Sand Plain and Mississippi Valley Outwash,8.1.4,4536.8
536,51i,Big Woods,8.1.4,8506.9
537,51j,Alexandria Moraines and Detroit Lakes Outwash Plain,8.1.4,10729.5
538,51k,McGrath Till Plain and Drumlins,8.1.4,9099.3
539,51l,Wadena/Todd Drumlins and Osakis Till Plain,8.1.4,8104.4
540,51m,Manistee-Leelanau Shore,8.1.4,3657.9
541,51n,Platte River Outwash,8.1.4,889.9
542,52a,Savanna Section,8.1.5,5738.7
543,52b,Blufflands and Coulees,8.1.5,35874.1
544,52c,Rochester/Paleozoic Plateau Upland,8.1.5,5773.7
545,53a,Rock River Drift Plain,8.2.1,4430.6
546,53b,Kettle Moraines,8.2.1,8133.1
547,53c,Southeastern Wisconsin Savannah and Till Plain,8.2.1,11395.7
548,53d,Lake Michigan Lacustrine Clay Plain,8.2.1,7390.8
549,54a,Illinois/Indiana Prairies,8.2.3,54471.4
550,54b,Chicago Lake Plain,8.2.3,1714.3
551,54c,Kankakee Marsh,8.2.3,1213.2
552,54d,Sand Area,8.2.3,7912.1
553,54e,Chiwaukee Prairie Region,8.2.3,771.8
554,54f,Valparaiso-Wheaton Morainal Complex,8.2.3,5561.4
555,54g,Rock River Hills,8.2.3,4865.3
556,55a,Clayey High Lime Till Plains,8.2.4,31994.9
557,55b,Loamy High Lime Till Plains,8.2.4,36200.1
558,55c,Mad River Interlobate Area,8.2.4,1701.2
559,55d,Pre-Wisconsinan Drift Plains,8.2.4,10959.9
560,55e,Darby Plains,8.2.4,2931.9
561,55f,Whitewater Interlobate Area,8.2.4,3069.9
562,56a,Northern Indiana Lake Country,8.1.6,3334.3
563,56b,Battle Creek/Elkhart Outwash Plain,8.1.6,12581.6
564,56c,Middle Tippecanoe Plains,8.1.6,2787.6
565,56d,Michigan Lake Plain,8.1.6,6223.2
566,56f,Lake Michigan Moraines,8.1.6,3686.3
567,56g,Lansing Loamy Plain,8.1.6,15388.5
568,56h,Interlobate Dead Ice Moraines,8.1.6,9032.8
569,57a,Maumee Lake Plain,8.2.2,13608.0
570,57b,Oak Openings,8.2.2,1435.7
571,57c,Paulding Plains,8.2.2,1450.4
572,57d,Marblehead Drift/Limestone Plain,8.2.2,2309.7
573,57e,Saginaw Lake Plain,8.2.2,12790.6
574,58a,Taconic Mountains,5.3.1,1836.9
575,58aa,Acid Sensitive Adirondacks,5.3.1,8483.4
576,58ab,Northern and Western Adirondack Foothills,5.3.1,6189.2
577,58ac,Eastern Adirondack Foothills,5.3.1,4579.0
578,58ad,Central Adirondacks,5.3.1,3722.5
579,58ae,Tug Hill Plateau,5.3.1,1259.9
580,58af,Tug Hill Transition,5.3.1,1702.1
581,58ag,Rensselaer Plateau,5.3.1,420.7
582,58b,Western New England Marble Valleys,5.3.1,2286.4
583,58c,Green Mountains/Berkshire Highlands,5.3.1,8844.8
584,58d,Lower Berkshire Hills,5.3.1,1137.2
585,58e,Berkshire Transition,5.3.1,2259.0
586,58f,Vermont Piedmont,5.3.1,4196.0
587,58g,Worcester/Monadnock Plateau,5.3.1,6047.1
588,58h,Reading Prong,5.3.1,1645.7
589,58i,Glaciated Reading Prong/Hudson Highlands,5.3.1,2744.6
590,58j,Upper Montane/Alpine Zone,5.3.1,3333.9
591,58k,Green Mountain Foothills,5.3.1,1652.1
592,58l,Northern Piedmont,5.3.1,4046.4
593,58m,Quebec/New England Boundary Mountains,5.3.1,14405.2
594,58n,White Mountain Foothills,5.3.1,2322.5
595,58o,Northern Connecticut Valley,5.3.1,757.4
596,58p,White Mountains/Blue Mountains,5.3.1,5254.9
597,58q,Sunapee Uplands,5.3.1,2980.4
598,58r,Sebago-Ossipee Hills and Plains,5.3.1,5997.2
599,58s,Western Maine Foothills,5.3.1,2900.3
600,58t,Upper St. John Wet Flats,5.3.1,885.5
601,58u,Moosehead-Churchill Lakes,5.3.1,4118.5
602,58v,St. John Uplands,5.3.1,9464.7
603,58w,International Boundary Plateau,5.3.1,1904.9
604,58x,Taconic Foothills,5.3.1,3527.4
605,58y,Catskill High Peaks,5.3.1,2116.6
606,58z,Adirondack High Peaks,5.3.1,1174.3
607,59a,Connecticut Valley,8.1.7,3784.8
608,59b,Lower Worcester Plateau/Eastern Connecticut Upland,8.1.7,2318.0
609,59c,Southern New England Coastal Plains and Hills,8.1.7,11434.3
610,59d,Boston Basin,8.1.7,1061.6
611,59e,Narragansett/Bristol Lowland,8.1.7,3153.5
612,59f,Gulf of Maine Coastal Lowland,8.1.7,4162.9
613,59g,Long Island Sound Coastal Lowland,8.1.7,3628.3
614,59h,Gulf of Maine Coastal Plain,8.1.7,7016.9
615,59i,Hudson Valley,8.1.7,5507.5
616,5a,Sierran Alpine,6.2.12,2391.9
617,5b,Northern Sierra Subalpine Forests,6.2.12,1665.5
618,5c,Northern Sierra Upper Montane Forests,6.2.12,6362.0
619,5d,Northern Sierra Mid-Montane Forests,6.2.12,4282.0
620,5e,Northern Sierra Lower Montane Forests,6.2.12,2241.8
621,5f,Northeastern Sierra Mixed Conifer-Pine Forests,6.2.12,5650.6
622,5g,Central Sierra Mid-Montane Forests,6.2.12,2094.9
623,5h,Central Sierra Lower Montane Forests,6.2.12,4978.5
624,5i,Eastern Sierra Great Basin Slopes,6.2.12,3414.8
625,5j,Eastern Sierra Mojavean Slopes,6.2.12,1201.8
626,5k,Southern Sierra Subalpine Forests,6.2.12,4999.7
627,5l,Southern Sierra Upper Montane Forests,6.2.12,4333.2
628,5m,Southern Sierra Mid-Montane Forests,6.2.12,3662.0
629,5n,Southern Sierra Lower Montane Forest and Woodland,6.2.12,3479.6
630,5o,Tehachapi Mountains,6.2.12,2344.0
631,60a,Glaciated Low Allegheny Plateau,8.1.3,27197.5
632,60b,Delaware-Neversink Highlands,8.1.3,4568.9
633,60c,Catskills Transition,8.1.3,3762.8
634,60d,Finger Lakes Uplands and Gorges,8.1.3,7075.3
635,60e,Glaciated Allegheny Hills,8.1.3,1899.7
636,60f,Cattaraugus Hills,8.1.3,2005.4
637,61b,Mosquito Creek/Pymatuning Lowlands,8.1.10,3252.2
638,61c,Low Lime Drift Plain,8.1.10,25464.8
639,61d,Erie Gorges,8.1.10,853.4
640,61e,Summit Interlobate Area,8.1.10,1389.2
641,62a,Pocono High Plateau,5.3.3,1458.4
642,62b,Low Poconos,5.3.3,3402.3
643,62c,Glaciated High Allegheny Plateau,5.3.3,3772.8
644,62d,Unglaciated High Allegheny Plateau,5.3.3,18094.1
645,63a,Delaware River Terraces and Uplands,8.5.1,2628.6
646,63b,Chesapeake-Pamlico Lowlands and Tidal Marshes,8.5.1,13243.5
647,63c,Swamps and Peatlands,8.5.1,4820.5
648,63d,Virginian Barrier Islands and Coastal Marshes,8.5.1,1532.8
649,63e,Mid-Atlantic Flatwoods,8.5.1,9953.2
650,63f,Delmarva Uplands,8.5.1,9324.7
651,63g,Carolinian Barrier Islands and Coastal Marshes,8.5.1,1379.6
652,63h,Carolina Flatwoods,8.5.1,29881.1
653,63n,Mid-Atlantic Floodplains and Low Terraces,8.5.1,5712.3
654,64a,Triassic Lowlands,8.3.1,8178.7
655,64b,Trap Rock and Conglomerate Uplands,8.3.1,2633.3
656,64c,Piedmont Uplands,8.3.1,16584.7
657,64d,Piedmont Limestone/Dolomite Lowlands,8.3.1,1994.9
658,64e,Glaciated Triassic Lowlands,8.3.1,1556.2
659,64f,Passaic Basin Freshwater Wetlands,8.3.1,200.0
660,64g,Hackensack Meadowlands,8.3.1,217.9
661,65a,Blackland Prairie,8.3.5,11033.9
662,65b,Flatwoods/Blackland Prairie Margins,8.3.5,11989.4
663,65c,Sand Hills,8.3.5,20789.5
664,65d,Southern Hilly Gulf Coastal Plain,8.3.5,50011.2
665,65e,Northern Hilly Gulf Coastal Plain,8.3.5,20289.0
666,65f,Southern Pine Plains and Hills,8.3.5,43039.1
667,65g,Dougherty Plain,8.3.5,22035.0
668,65h,Tifton Upland,8.3.5,11471.1
669,65i,Fall Line Hills,8.3.5,19780.5
670,65j,Transition Hills,8.3.5,3473.9
671,65k,Coastal Plain Red Uplands,8.3.5,8375.7
672,65l,Atlantic Southern Loam Plains,8.3.5,39099.9
673,65m,Rolling Coastal Plain,8.3.5,27732.5
674,65n,Chesapeake Rolling Coastal Plain,8.3.5,5850.1
675,65o,Tallahasee Hills/Valdosta Limesink,8.3.5,8437.5
676,65p,Southeastern Floodplains and Low Terraces,8.3.5,18167.8
677,65q,Buhrstone/Lime Hills,8.3.5,4836.3
678,65r,Jackson Prairie,8.3.5,2473.5
679,66a,Northern Igneous Ridges,8.4.4,3699.3
680,66b,Northern Sedimentary and Metasedimentary Ridges,8.4.4,1796.9
681,66c,New River Plateau,8.4.4,4289.3
682,66d,Southern Crystalline Ridges and Mountains,8.4.4,15119.0
683,66e,Southern Sedimentary Ridges,8.4.4,3272.5
684,66f,Limestone Valleys and Coves,8.4.4,362.8
685,66g,Southern Metasedimentary Mountains,8.4.4,11340.8
686,66i,High Mountains,8.4.4,974.2
687,66j,Broad Basins,8.4.4,3646.4
688,66k,Amphibolite Mountains,8.4.4,338.5
689,66l,Eastern Blue Ridge Foothills,8.4.4,1691.1
690,66m,Sauratown Mountains,8.4.4,65.0
691,67a,Northern Limestone/Dolomite Valleys,8.4.1,13594.3
692,67b,Northern Shale Valleys,8.4.1,17573.6
693,67c,Northern Sandstone Ridges,8.4.1,14899.3
694,67d,Northern Dissected Ridges and Knobs,8.4.1,12533.0
695,67e,Anthracite Subregion,8.4.1,1554.8
696,67f,Southern Limestone/Dolomite Valleys and Low Rolling Hills,8.4.1,30949.8
697,67g,Southern Shale Valleys,8.4.1,10666.9
698,67h,Southern Sandstone Ridges,8.4.1,8180.9
699,67i,Southern Dissected Ridges and Knobs,8.4.1,2650.6
700,67j,Northern Glaciated Limestone Valleys,8.4.1,644.9
701,67k,Northern Glaciated Shale and Slate Valleys,8.4.1,2028.2
702,67l,"Northern Glaciated Limestone Ridges, Valleys, and Terraces",8.4.1,674.6
703,67m,Northern Glaciated Ridges,8.4.1,764.9
704,68a,Cumberland Plateau,8.4.9,10082.8
705,68b,Sequatchie Valley,8.4.9,1950.9
706,68c,Plateau Escarpment,8.4.9,10376.5
707,68d,Southern Table Plateaus,8.4.9,6274.8
708,68e,Dissected Plateau,8.4.9,3644.7
709,68f,Shale Hills,8.4.9,5666.1
710,69a,Forested Hills and Mountains,8.4.2,15902.7
711,69b,Uplands and Valleys of Mixed Land Use,8.4.2,9547.8
712,69c,Greenbriar Karst,8.4.2,2654.9
713,69d,Dissected Appalachian Plateau,8.4.2,31140.2
714,69e,Cumberland Mountain Thrust Block,8.4.2,2804.3
715,6a,Tuscan Flows,11.1.1,2552.6
716,6aa,Eastern Hills,11.1.1,3833.3
717,6ab,Pleasant Valley/Kettleman Plain,11.1.1,486.4
718,6ac,Temblor Range/Elk Hills,11.1.1,1277.6
719,6ad,Grapevine Transition,11.1.1,384.3
720,6ae,Tehachapi Foothills,11.1.1,1684.9
721,6af,Salinas Valley,11.1.1,1057.8
722,6ag,Northern Santa Lucia Range,11.1.1,1875.3
723,6ah,Santa Lucia Coastal Forest and Woodland,11.1.1,659.1
724,6ai,Interior Santa Lucia Range,11.1.1,3899.6
725,6aj,Southern Santa Lucia Range,11.1.1,2119.9
726,6ak,Paso Robles Hills and Valleys,11.1.1,2583.5
727,6al,Salinas-Cholame Hills,11.1.1,1214.8
728,6am,Cuyama Valley,11.1.1,687.4
729,6an,Carrizo Plain,11.1.1,914.3
730,6ao,Caliente Range,11.1.1,670.5
731,6ap,Solomon-Purisima-Santa Ynez Hills,11.1.1,2015.2
732,6aq,Santa Maria/Santa Ynez Valleys,11.1.1,1209.5
733,6ar,Upper Sacramento River Alluvium,11.1.1,265.4
734,6b,Northern Sierran Foothills,11.1.1,7750.1
735,6c,Southern Sierran Foothills,11.1.1,5458.0
736,6d,Camanche Terraces,11.1.1,1332.9
737,6e,Tehama Terraces,11.1.1,2452.7
738,6f,Foothill Ridges and Valleys,11.1.1,4295.4
739,6g,North Coast Range Eastern Slopes,11.1.1,2596.2
740,6h,Western Valley Foothills/Dunnigan Hills,11.1.1,1077.4
741,6i,Clear Lake Hills and Valleys,11.1.1,646.8
742,6j,Mayacmas Mountains,11.1.1,1332.5
743,6k,Napa-Sonoma-Lake Volcanic Highlands,11.1.1,1412.7
744,6l,Napa-Sonoma-Russian River Valleys,11.1.1,1433.7
745,6m,Sonoma-Mendocino Mixed Forest,11.1.1,1155.0
746,6n,Bodega Coastal Hills,11.1.1,479.7
747,6o,Marin Hills,11.1.1,779.8
748,6p,Bay Flats,11.1.1,539.3
749,6q,Suisun Terraces and Low Hills,11.1.1,819.9
750,6r,East Bay Hills/Western Diablo Range,11.1.1,3477.8
751,6s,San Francisco Peninsula,11.1.1,244.9
752,6t,Bay Terraces/Lower Santa Clara Valley,11.1.1,1116.0
753,6u,Livermore Hills and Valleys,11.1.1,540.9
754,6v,Upper Santa Clara Valley,11.1.1,550.4
755,6w,Monterey Bay Plains and Terraces,11.1.1,932.8
756,6x,Leeward Hills,11.1.1,750.5
757,6y,Gabilan Range,11.1.1,1189.3
758,6z,Diablo Range,11.1.1,4922.0
759,70a,Permian Hills,8.4.3,15805.5
760,70b,Monongahela Transition Zone,8.4.3,24802.2
761,70c,Pittsburgh Low Plateau,8.4.3,13526.4
762,70d,Knobs-Lower Scioto Dissected Plateau,8.4.3,6958.0
763,70e,Unglaciated Upper Muskingum Basin,8.4.3,7536.4
764,70f,Ohio/Kentucky Carboniferous Plateau,8.4.3,9943.1
765,70g,Northern Forested Plateau Escarpment,8.4.3,1586.9
766,70h,Carter Hills,8.4.3,1281.7
767,71a,Crawford-Mammoth Cave Uplands,8.3.3,13546.4
768,71b,Mitchell Plain,8.3.3,6000.8
769,71c,Knobs-Norman Upland,8.3.3,6136.1
770,71d,Outer Bluegrass,8.3.3,15848.1
771,71e,Western Pennyroyal Karst Plain,8.3.3,7373.4
772,71f,Western Highland Rim,8.3.3,18823.3
773,71g,Eastern Highland Rim,8.3.3,23201.6
774,71h,Outer Nashville Basin,8.3.3,12304.1
775,71i,Inner Nashville Basin,8.3.3,4324.2
776,71j,Little Mountain,8.3.3,1082.8
777,71k,Hills of the Bluegrass,8.3.3,7855.6
778,71l,Inner Bluegrass,8.3.3,3508.3
779,71m,Northern Shawnee Hills,8.3.3,1524.9
780,71n,Southern Shawnee Hills,8.3.3,1997.7
781,72a,Wabash-Ohio Bottomlands,8.3.2,8383.6
782,72b,Glaciated Wabash Lowlands,8.3.2,7601.1
783,72c,Green River-Southern Wabash Lowlands,8.3.2,12145.1
784,72d,Upper Mississippi Alluvial Plain,8.3.2,7554.9
785,72e,Middle Mississippi Alluvial Plain,8.3.2,2225.9
786,72f,River Hills,8.3.2,25521.3
787,72g,Southern Ozarkian River Bluffs,8.3.2,554.3
788,72h,Caseyville Hills,8.3.2,4925.2
789,72i,Western Dissected Illinoian Till Plain,8.3.2,17979.5
790,72j,Southern Illinoian Till Plain,8.3.2,29984.8
791,72k,Cretaceous Hills,8.3.2,602.8
792,72l,Karstic Northern Ozarkian River Bluffs,8.3.2,936.1
793,72m,Wabash River Bluffs and Low Hills,8.3.2,2032.7
794,73a,Northern Holocene Meander Belts,8.5.2,28146.6
795,73b,Northern Pleistocene Valley Trains,8.5.2,3672.1
796,73c,St. Francis Lowlands,8.5.2,9027.3
797,73d,Northern Backswamps,8.5.2,4717.5
798,73e,Grand Prairie,8.5.2,5021.9
799,73f,Western Lowlands Holocene Meander Belts,8.5.2,3409.1
800,73g,Western Lowlands Pleistocene Valley Trains,8.5.2,12631.8
801,73h,Arkansas/Ouachita River Holocene Meander Belts,8.5.2,5161.2
802,73i,Arkansas/Ouachita River Backswamps,8.5.2,4689.8
803,73j,Macon Ridge,8.5.2,4494.7
804,73k,Southern Holocene Meander Belts,8.5.2,8558.8
805,73l,Southern Pleistocene Valley Trains,8.5.2,504.9
806,73m,Southern Backswamps,8.5.2,4460.6
807,73n,Inland Swamps,8.5.2,7900.8
808,73o,Deltaic Coastal Marshes and Barrier Islands,8.5.2,13722.7
809,74a,Bluff Hills,8.3.6,8627.8
810,74b,Loess Plains,8.3.6,28614.9
811,74c,Southern Rolling Plains,8.3.6,11851.1
812,74d,Baton Rouge Terrace,8.3.6,2715.9
813,75a,Gulf Coast Flatwoods,8.5.3,25338.6
814,75b,Southwestern Florida Flatwoods,8.5.3,22683.0
815,75c,Central Florida Ridges and Uplands,8.5.3,15717.6
816,75d,Eastern Florida Flatwoods,8.5.3,29551.4
817,75e,Okefenokee Plains,8.5.3,8177.4
818,75f,Sea Island Flatwoods,8.5.3,16492.9
819,75g,Okefenokee Swamp,8.5.3,2411.9
820,75h,Bacon Terraces,8.5.3,4771.0
821,75i,Floodplains and Low Terraces,8.5.3,3614.4
822,75j,Sea Islands/Coastal Marsh,8.5.3,9863.6
823,75k,Gulf Barrier Islands and Coastal Marshes,8.5.3,1953.3
824,75l,Big Bend Coastal Marsh,8.5.3,838.5
825,76a,Everglades,15.4.1,11483.8
826,76b,Big Cypress,15.4.1,5041.2
827,76c,Miami Ridge/Atlantic Coastal Strip,15.4.1,3453.8
828,76d,Southern Coast and Islands,15.4.1,2554.6
829,77a,North Cascades Lowland Forests,6.2.5,5187.9
830,77b,North Cascades Highland Forests,6.2.5,8152.5
831,77c,North Cascades Subalpine/Alpine,6.2.5,4344.3
832,77d,Pasayten/Sawtooth Highlands,6.2.5,3028.2
833,77e,Okanogan Pine/Fir Hills,6.2.5,3031.8
834,77f,Chelan Tephra Hills,6.2.5,1127.0
835,77g,Wenatchee/Chelan Highlands,6.2.5,1920.7
836,77h,Chiwaukum Hills and Lowlands,6.2.5,2058.5
837,77i,High Olympics,6.2.5,1544.1
838,78a,Rogue/Illinois/Scott Valleys,6.2.11,1012.7
839,78b,Oak Savanna Foothills,6.2.11,2120.9
840,78c,Umpqua Interior Foothills,6.2.11,2385.0
841,78d,Serpentine Siskiyous,6.2.11,2578.8
842,78e,Inland Siskiyous,6.2.11,6474.4
843,78f,Coastal Siskiyous,6.2.11,2211.0
844,78g,Klamath River Ridges,6.2.11,1415.4
845,78h,Border High-Siskiyous,6.2.11,1014.9
846,78i,Western Klamath Low Elevation Forests,6.2.11,4428.4
847,78j,Western Klamath Montane Forests,6.2.11,575.6
848,78k,Eastern Klamath Low Elevation Forests,6.2.11,6739.6
849,78l,Eastern Klamath Montane Forests,6.2.11,1165.4
850,78m,Marble/Salmon Mountains-Trinity Alps,6.2.11,2621.3
851,78n,Scott Mountains,6.2.11,1419.2
852,78o,Klamath Subalpine,6.2.11,522.0
853,78p,Duzel Rock,6.2.11,711.5
854,78q,Outer North Coast Ranges,6.2.11,7025.0
855,78r,High North Coast Ranges,6.2.11,3937.5
856,79a,Apachian Valleys and Low Hills,12.1.1,17515.0
857,79b,Lower Madrean Woodlands,12.1.1,11622.7
858,79c,Madrean Pine-Oak and Mixed Conifer Forests,12.1.1,1407.8
859,79d,Willcox Playa,12.1.1,160.4
860,79e,Madrean Basin Grasslands,12.1.1,8943.5
861,7a,Northern Terraces,11.1.2,4860.6
862,7b,North Valley Alluvium,11.1.2,1524.9
863,7c,Butte Sink/Sutter and Colusa Basins,11.1.2,2896.6
864,7d,Southern Hardpan Terraces,11.1.2,4144.2
865,7e,Sacramento/Feather Riverine Alluvium,11.1.2,1675.4
866,7f,Sutter Buttes,11.1.2,166.6
867,7g,Yolo Alluvial Fans,11.1.2,1906.8
868,7h,Yolo/American Basin,11.1.2,753.7
869,7j,Delta,11.1.2,2120.4
870,7k,Lodi Alluvium,11.1.2,441.5
871,7l,Stockton Basin,11.1.2,402.5
872,7m,San Joaquin Basin,11.1.2,1735.7
873,7n,Manteca/Merced Alluvium,11.1.2,2612.4
874,7o,Westside Alluvial Fans and Terraces,11.1.2,1661.7
875,7p,Granitic Alluvial Fans and Terraces,11.1.2,6406.3
876,7q,Panoche and Cantua Fans and Basins,11.1.2,3033.5
877,7r,Tulare Basin/Fresno Slough,11.1.2,2161.7
878,7s,Kern Terraces,11.1.2,1573.0
879,7t,South Valley Alluvium,11.1.2,4061.8
880,7u,Antelope Plain,11.1.2,1257.0
881,7v,Southern Clayey Basins,11.1.2,1094.3
882,80a,Dissected High Lava Plateau,10.1.3,34437.6
883,80b,Semiarid Hills and Low Mountains,10.1.3,13099.1
884,80c,High Elevation Forests and Shrublands,10.1.3,2622.3
885,80d,Pluvial Lake Basins,10.1.3,7987.9
886,80e,High Desert Wetlands,10.1.3,4695.3
887,80f,Owyhee Uplands and Canyons,10.1.3,11096.8
888,80g,High Lava Plains,10.1.3,43634.0
889,80h,Saltbush-Dominated Valleys,10.1.3,1268.0
890,80i,Sagebrush Steppe Valleys,10.1.3,4848.2
891,80j,Semiarid Uplands,10.1.3,12609.4
892,80k,Partly Forested Mountains,10.1.3,636.5
893,80l,Salt Shrub Valleys,10.1.3,2798.7
894,80m,Barren Playas,10.1.3,464.3
895,81a,Western Sonoran Mountains,10.2.2,1340.8
896,81b,Western Sonoran Mountain Woodland and Shrubland,10.2.2,1427.5
897,81c,Western Sonoran Basins,10.2.2,2886.3
898,81d,Sand Hills/Sand Dunes,10.2.2,1804.6
899,81e,Upper Coachella Valley and Hills,10.2.2,1375.6
900,81f,Imperial/Lower Coachella Valleys,10.2.2,4514.1
901,81g,Lower Colorado/Lower Gila River Valleys,10.2.2,3317.2
902,81h,Sonoran Playas,10.2.2,139.6
903,81i,Central Sonoran/Colorado Desert Mountains,10.2.2,11236.0
904,81j,Central Sonoran/Colorado Desert Basins,10.2.2,33166.2
905,81k,Arizona Upland/Eastern Sonoran Mountains,10.2.2,23866.1
906,81l,Arizona Upland/Eastern Sonoran Basins,10.2.2,23794.9
907,81m,Sonoran Lava Fields,10.2.2,781.7
908,81n,Gila/Salt Intermediate Basins,10.2.2,6752.7
909,81o,Middle Gila/Salt River Floodplains,10.2.2,1967.1
910,82a,Aroostook Lowlands,8.1.8,2230.1
911,82b,Aroostook Hills,8.1.8,7685.6
912,82c,Eastern Maine-Southern New Brunswick Plains,8.1.8,11362.4
913,82d,Central Foothills,8.1.8,3479.1
914,82e,Central Maine Embayment,8.1.8,10306.7
915,82f,Midcoast,8.1.8,3006.9
916,82g,Downeast Coast,8.1.8,4898.7
917,82h,Penobscot Lowlands,8.1.8,2281.1
918,83a,Erie/Ontario Lake Plain,8.1.1,5812.7
919,83b,Champlain Lowlands,8.1.1,5705.2
920,83c,Ontario Lowlands,8.1.1,15265.3
921,83d,St. Lawrence Lowlands,8.1.1,4121.5
922,83e,Upper St. Lawrence Valley,8.1.1,3535.0
923,83f,Mohawk Valley,8.1.1,5862.2
924,84a,Cape Cod/Long Island,8.5.4,3727.2
925,84b,Pine Barrens,8.5.4,5492.7
926,84c,Barrier Islands/Coastal Marshes,8.5.4,1457.8
927,84d,Inner Coastal Plain,8.5.4,3630.0
928,85a,Santa Barbara Coastal Plain and Terraces,11.1.1,389.3
929,85b,Oxnard Plain and Valleys,11.1.1,847.1
930,85c,Venturan-Angeleno Coastal Hills,11.1.1,3202.3
931,85d,Los Angeles Plain,11.1.1,3461.8
932,85e,Diegan Coastal Terraces,11.1.1,1173.5
933,85f,Diegan Coastal Hills and Valleys,11.1.1,2303.7
934,85g,Diegan Western Granitic Foothills,11.1.1,2562.9
935,85h,Morena/Boundary Mountain Chaparral,11.1.1,527.3
936,85i,Northern Channel Islands,11.1.1,508.0
937,85j,Southern Channel Islands,11.1.1,403.0
938,85k,Inland Valleys,11.1.1,2812.7
939,85l,Inland Hills,11.1.1,1686.6
940,85m,Santa Ana Mountains,11.1.1,1077.5
941,8a,Western Transverse Range Lower Montane Shrub and Woodland,11.1.3,3579.6
942,8b,Western Transverse Range Montane Forest,11.1.3,238.4
943,8c,Arid Montane Slopes,11.1.3,1463.4
944,8d,Southern California Subalpine/Alpine,11.1.3,125.9
945,8e,Southern California Lower Montane Shrub and Woodland,11.1.3,6542.1
946,8f,Southern California Montane Conifer Forest,11.1.3,2481.0
947,8g,Northern Transverse Range,11.1.3,1407.3
948,9a,Yakima Plateau and Slopes,6.2.8,4643.2
949,9b,Grand Fir Mixed Forest,6.2.8,2521.9
950,9c,Oak/Conifer Foothills,6.2.8,2652.5
951,9d,Ponderosa Pine/Bitterbrush Woodland,6.2.8,2789.8
952,9e,Pumice Plateau,6.2.8,10970.5
953,9f,Pumice Plateau Basins,6.2.8,1659.2
954,9g,Klamath/Goose Lake Basins,6.2.8,4082.8
