uniqid_huc10,chlor_high1992_huc10,chlor_high1997_huc10,chlor_high2002_huc10,chlor_high2007_huc10,chlor_high2012_huc10,chlor_low1992_huc10,chlor_low1997_huc10,chlor_low2002_huc10,chlor_low2007_huc10,chlor_low2012_huc10
2576,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2577,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2578,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2579,0.0239,0.0067,0.0074,0.0141,0.0080,0.0213,0.0052,0.0073,0.0138,0.0072
2580,0.0026,0.0052,0.0143,0.0087,0.0047,0.0026,0.0052,0.0143,0.0087,0.0047
2581,0.3657,0.8103,0.4260,0.1621,0.3830,0.0107,0.0086,0.0779,0.0004,0.1824
2582,0.1214,0.1188,0.4135,0.1998,1.5910,0.0099,0.0107,0.0109,0.1143,1.5827
2583,0.0057,0.0113,0.0081,0.0049,0.0031,0.0057,0.0113,0.0081,0.0049,0.0031
2584,0.0512,0.0159,0.0034,0.0051,0.0163,0.0477,0.0092,0.0003,0.0045,0.0135
2585,1.0264,1.8641,1.3297,0.3295,0.9718,0.9751,1.6294,1.1425,0.2375,0.3308
2586,0.3158,0.4373,0.2472,0.1672,0.0002,0.2597,0.2314,0.1015,0.0000,0.0001
2587,0.0474,0.0826,0.0654,0.0064,0.0811,0.0165,0.0000,0.0167,0.0023,0.0073
2588,2.1181,0.8582,0.5655,0.8456,0.0001,1.6241,0.1123,0.0526,0.0001,0.0001
2589,0.6230,0.3197,0.3664,0.0547,0.0168,0.5438,0.1610,0.3826,0.0519,0.0155
2590,0.2630,0.1046,0.1579,0.1695,0.0807,0.2551,0.0955,0.1515,0.1678,0.0572
2591,0.6708,0.4718,0.2893,1.0735,0.0003,0.4679,0.3117,0.0000,0.0000,0.0000
2592,0.3725,0.2749,0.3608,0.2347,0.2484,0.3252,0.2651,0.3265,0.0528,0.2272
2593,2.6365,2.6173,2.6912,1.9145,1.3965,2.5474,2.0944,2.5203,1.8436,0.7198
2594,0.2139,0.3350,1.2457,1.3668,2.5597,0.0800,0.0102,0.2206,1.1490,0.2691
2595,0.0072,0.0299,0.1429,0.0078,0.0022,0.0011,0.0171,0.0244,0.0078,0.0000
2596,0.7934,0.3441,0.4489,1.4203,0.0006,0.1358,0.0002,0.0326,1.4201,0.0006
2597,0.0947,0.1344,0.2482,0.2700,0.5479,0.0472,0.0066,0.1657,0.1958,0.0546
2598,0.0408,0.0507,0.0243,0.0488,0.0103,0.0063,0.0000,0.0175,0.0488,0.0103
2599,0.0471,0.0284,0.0476,0.0219,0.0049,0.0007,0.0095,0.0070,0.0206,0.0024
2600,0.0213,0.0188,0.0039,0.0107,0.0047,0.0197,0.0071,0.0030,0.0021,0.0047
2601,0.0038,0.0034,0.0015,0.0000,0.0000,0.0003,0.0019,0.0015,0.0000,0.0000
2602,0.1424,0.2602,0.2999,0.0664,0.0675,0.0296,0.0312,0.0750,0.0619,0.0066
2603,0.0386,0.0407,0.3519,0.0087,0.0095,0.0276,0.0271,0.3293,0.0021,0.0056
2604,2.8810,1.7537,0.6473,0.6459,0.5662,2.5287,0.4254,0.2456,0.5193,0.4503
2605,0.1487,0.1366,0.0535,0.0396,0.0356,0.1324,0.1128,0.0101,0.0354,0.0313
2606,0.0060,0.0199,0.0401,0.0131,0.0266,0.0049,0.0029,0.0374,0.0131,0.0059
2607,1.0589,2.0254,1.1280,0.6125,0.8150,1.0327,0.9694,1.0659,0.5670,0.2269
2608,0.0131,0.0423,0.0154,0.0086,0.0954,0.0059,0.0052,0.0137,0.0086,0.0879
2609,3.6777,2.9784,2.0896,1.5438,1.5213,3.0048,2.0523,1.2851,1.4326,1.1895
2610,0.0591,0.0943,0.1552,0.0285,0.0098,0.0543,0.0939,0.1551,0.0283,0.0057
2611,1.3954,1.1510,0.4215,0.1805,0.2423,0.0008,0.0584,0.0348,0.0183,0.1528
2612,0.0289,0.0356,0.0296,0.0200,0.0285,0.0000,0.0115,0.0235,0.0200,0.0285
2613,0.8384,2.5472,1.3844,3.4121,1.9305,0.7631,2.1397,1.3222,1.4089,0.4524
2614,0.0004,0.0000,0.0002,0.0001,0.0004,0.0000,0.0000,0.0001,0.0001,0.0004
2615,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2616,0.5085,0.4568,0.0752,0.3289,0.3812,0.0904,0.0246,0.0208,0.0068,0.0045
2617,0.1043,0.1298,0.0580,0.1505,0.0313,0.0977,0.1151,0.0102,0.0842,0.0227
2618,0.0181,0.0018,0.0011,0.0321,0.0034,0.0179,0.0016,0.0008,0.0317,0.0008
2619,0.0644,0.0929,0.0937,0.0089,0.0000,0.0059,0.0779,0.0518,0.0083,0.0000
2620,0.3393,0.1205,0.0469,0.0272,0.0135,0.1656,0.0720,0.0382,0.0049,0.0126
2621,0.2707,0.1300,0.5507,0.0712,0.0019,0.2184,0.1192,0.0095,0.0712,0.0019
2622,0.6221,0.6897,0.4397,0.1097,1.0867,0.6139,0.0015,0.0977,0.0019,0.0151
2623,0.1022,0.3553,0.2851,0.2687,0.0953,0.0060,0.0044,0.0006,0.2354,0.0708
2624,1.9173,2.1565,0.5679,4.4924,0.0004,1.8771,2.0917,0.3006,0.0000,0.0000
2625,0.0166,0.2411,0.0677,0.0167,0.0514,0.0086,0.2103,0.0384,0.0047,0.0016
2626,0.0150,0.0598,0.0292,0.0642,0.0331,0.0134,0.0477,0.0280,0.0265,0.0040
2627,0.0819,0.0469,0.3844,0.0188,0.0711,0.0154,0.0163,0.0285,0.0073,0.0447
2628,0.0099,0.0169,0.0103,0.0051,0.0041,0.0049,0.0119,0.0043,0.0050,0.0000
2629,0.4455,0.3280,0.3255,0.2193,0.5911,0.4355,0.0963,0.1336,0.0944,0.0061
2630,0.2993,0.0636,0.0437,0.7030,0.0000,0.0142,0.0011,0.0000,0.7001,0.0000
2631,0.0409,0.0205,0.1409,0.0937,0.1031,0.0308,0.0043,0.0852,0.0402,0.0337
2632,0.1972,0.0633,0.0374,0.0184,0.0452,0.1543,0.0264,0.0047,0.0114,0.0375
2633,0.1424,0.5164,0.3916,0.4007,0.1589,0.0170,0.0061,0.0008,0.3126,0.1256
2634,0.1079,0.1290,1.4539,0.0193,0.0107,0.0000,0.1221,1.4426,0.0000,0.0106
2635,0.0323,0.0361,0.1063,0.0316,0.1170,0.0012,0.0124,0.0004,0.0012,0.0190
2636,0.8180,0.4602,0.3305,0.1064,0.1075,0.6961,0.3010,0.1608,0.0000,0.0855
2637,3.4899,1.7709,1.9618,0.3993,2.1157,3.2652,1.4644,0.3371,0.0064,0.8155
2638,0.5256,0.6198,0.2204,0.1446,0.1445,0.4818,0.5864,0.0124,0.1126,0.0578
2639,1.4141,2.8693,1.0040,8.0024,3.9084,1.3097,2.8690,0.9995,8.0021,3.9081
2640,0.0253,0.0491,0.0306,0.1282,0.0167,0.0232,0.0215,0.0305,0.0527,0.0004
2641,0.0435,0.0462,0.0160,0.0074,0.0139,0.0411,0.0031,0.0035,0.0074,0.0122
2642,0.0301,0.0241,0.0808,0.0102,0.0385,0.0021,0.0065,0.0005,0.0024,0.0174
2643,3.3097,3.5635,2.8714,0.7427,1.1279,3.0998,3.4584,2.8035,0.0253,0.2137
2644,0.0747,0.1258,0.0853,0.0624,0.0025,0.0224,0.0027,0.0316,0.0710,0.0019
2645,0.2190,0.6856,0.4029,0.6271,0.3591,0.2072,0.5951,0.3743,0.2823,0.1064
2646,0.9708,0.6171,0.1965,0.7279,1.5654,0.8268,0.1740,0.1102,0.0156,0.0034
2647,0.0931,0.3626,0.1495,0.0821,0.0283,0.0015,0.2957,0.0681,0.0799,0.0282
2648,0.2285,0.3166,0.1825,0.1386,0.0452,0.2248,0.3152,0.1825,0.1386,0.0383
2649,0.0606,0.6163,0.1416,0.0164,0.1922,0.0072,0.4313,0.0951,0.0160,0.1719
2650,0.3251,0.2384,0.0670,0.0886,0.1327,0.3178,0.2178,0.0533,0.0878,0.1327
2651,1.0066,1.0512,1.1624,0.5565,0.4855,0.9798,0.8662,1.0991,0.5338,0.1905
2652,0.0290,0.0302,0.0240,0.0023,0.0255,0.0011,0.0220,0.0235,0.0023,0.0255
2653,1.3583,1.1268,1.0742,5.3679,2.1776,1.2649,1.1268,1.0742,5.3679,2.1771
2654,0.0381,0.0744,0.0417,0.0204,0.0728,0.0008,0.0278,0.0052,0.0110,0.0680
2655,0.0351,0.0566,0.0703,0.0213,0.0481,0.0147,0.0378,0.0117,0.0122,0.0047
2656,0.3929,0.4351,0.2611,0.0890,0.5020,0.3836,0.0012,0.0464,0.0110,0.0116
2657,2.1556,1.7526,1.5091,0.6631,0.4952,2.0834,1.4890,1.4636,0.6246,0.3116
2658,1.1366,1.1004,1.6115,0.9943,2.8157,1.0514,0.2738,1.4215,0.2704,0.0363
2659,0.0131,0.0174,0.0236,0.0098,0.0213,0.0018,0.0020,0.0054,0.0009,0.0078
2660,0.0021,0.0002,0.0004,0.0000,0.0002,0.0000,0.0001,0.0004,0.0000,0.0002
2661,1.1012,1.5569,0.2928,0.2457,0.2454,0.0090,0.0095,0.0048,0.0021,0.1237
2662,0.8687,0.6827,0.1206,0.5640,1.4535,0.8253,0.0880,0.0524,0.0014,0.0042
2663,0.4438,2.0659,0.1728,0.1226,0.2705,0.3314,1.5328,0.1106,0.0737,0.0765
2664,0.7933,3.3731,1.1652,2.4589,1.7686,0.6667,2.6652,1.1559,1.1862,0.2312
2665,0.8965,0.7978,0.4270,0.1769,0.4560,0.5672,0.6420,0.2435,0.0770,0.0604
2666,0.0301,0.5621,0.0771,0.0326,0.0134,0.0051,0.5104,0.0260,0.0142,0.0097
2667,0.0096,0.0108,0.0033,0.0037,0.0029,0.0063,0.0070,0.0032,0.0037,0.0028
2668,0.0913,0.2740,0.1047,0.1488,0.0780,0.0586,0.1779,0.0683,0.1228,0.0600
2669,0.1917,0.4778,1.0528,0.1043,0.0001,0.0101,0.4716,0.0174,0.0000,0.0000
2670,1.1239,1.2324,0.7707,0.3857,0.6475,1.0218,1.0869,0.7209,0.3519,0.3562
2671,0.0019,0.0027,0.0043,0.0061,0.0010,0.0001,0.0002,0.0014,0.0059,0.0001
2672,0.1062,0.1069,0.0164,0.0579,0.0446,0.0931,0.0219,0.0119,0.0431,0.0092
2673,0.1549,0.0978,0.0363,0.0224,0.0188,0.0926,0.0670,0.0202,0.0125,0.0025
2674,0.0072,0.0109,0.0004,0.0015,0.0003,0.0064,0.0109,0.0004,0.0015,0.0003
2675,0.6696,0.5122,0.3771,0.1522,0.3802,0.3755,0.2877,0.1723,0.0305,0.1344
2676,0.0241,0.2871,0.0699,0.0199,0.0481,0.0133,0.2612,0.0061,0.0177,0.0025
2677,0.0134,0.0365,0.0049,0.0519,0.0005,0.0048,0.0120,0.0031,0.0027,0.0005
2678,0.0171,0.1382,0.0239,0.0010,0.0000,0.0015,0.1187,0.0112,0.0000,0.0000
2679,0.0232,0.0259,0.0755,0.0224,0.0861,0.0009,0.0089,0.0003,0.0008,0.0140
2680,0.0016,0.0066,0.0013,0.0009,0.0001,0.0001,0.0040,0.0007,0.0009,0.0001
2681,0.2531,0.5347,1.5610,0.8605,0.1634,0.0080,0.1261,1.5360,0.1302,0.0146
2682,0.1749,0.4389,0.1032,0.1010,0.0545,0.1216,0.3340,0.0126,0.0604,0.0455
2683,0.0531,0.0661,0.1297,0.0797,0.1017,0.0162,0.0088,0.0462,0.0361,0.0202
2684,5.0609,0.8454,0.6148,0.5048,0.4359,5.0527,0.7080,0.6044,0.4128,0.3805
2685,1.0422,0.8509,0.8574,0.2178,1.0137,0.8278,0.5383,0.1821,0.0007,0.3102
2686,2.6469,2.5247,1.7439,13.2881,3.8536,2.5892,2.5247,1.7438,13.2881,3.8516
2687,0.1721,0.1883,0.1253,0.0183,0.1498,0.1237,0.0096,0.0220,0.0173,0.1344
2688,0.0313,0.7347,0.0906,0.0352,0.0113,0.0001,0.6705,0.0267,0.0106,0.0069
2689,0.4663,0.3830,0.2377,0.0229,0.0112,0.0169,0.2025,0.1220,0.0098,0.0048
2690,2.2892,2.5096,1.3663,11.1488,5.2404,2.1773,2.5095,1.3655,11.1485,5.2392
2691,0.0856,1.1589,0.2949,0.0559,0.0001,0.0070,0.9168,0.2028,0.0041,0.0000
2692,0.8038,0.4081,0.0720,0.0451,0.1320,0.6287,0.1796,0.0092,0.0400,0.0267
2693,0.0040,0.0243,0.0000,0.0982,0.0002,0.0000,0.0001,0.0000,0.0000,0.0002
2694,0.2166,0.1924,0.1521,0.5961,0.1258,0.0036,0.1325,0.1325,0.2804,0.0014
2695,1.0111,0.3627,0.1763,0.0355,0.0138,0.9712,0.1215,0.1146,0.0012,0.0004
2696,0.1264,0.6289,0.3224,0.6328,0.3745,0.1112,0.5431,0.3078,0.2614,0.0474
2697,0.3784,0.4721,0.2689,0.0779,0.7266,0.3662,0.0029,0.1001,0.0104,0.0067
2698,0.0479,0.2280,0.1217,0.0493,0.0000,0.0248,0.2273,0.1207,0.0248,0.0000
2699,1.8875,0.8703,0.2457,0.0985,0.4249,1.5150,0.7099,0.0903,0.0478,0.0886
2700,0.0567,0.2872,0.1013,0.0177,0.0125,0.0512,0.2774,0.0899,0.0146,0.0110
2701,0.0018,0.0069,0.0021,0.0000,0.0000,0.0014,0.0007,0.0005,0.0000,0.0000
2702,0.9728,0.6544,0.1601,0.6062,0.6604,0.8112,0.1723,0.0764,0.0129,0.0023
2703,0.0746,0.1729,0.0343,0.1289,0.0006,0.0702,0.1666,0.0182,0.0000,0.0005
2704,0.8095,1.4018,0.2260,0.6125,0.8177,0.7499,1.3652,0.1766,0.3115,0.8156
2705,0.2550,0.7699,0.0469,0.0847,0.0886,0.1965,0.7496,0.0140,0.0020,0.0717
2706,0.8256,1.1565,0.6419,0.3325,0.7531,0.6970,0.6928,0.2531,0.0208,0.0903
2707,0.5210,0.6508,0.3336,0.1137,0.9526,0.4999,0.0004,0.0861,0.0263,0.0095
2708,0.9566,0.5796,1.5028,0.4122,0.4904,0.8703,0.5629,1.4451,0.2222,0.3962
2709,5.9890,8.9491,12.5295,11.6264,9.2688,5.7752,8.7623,12.2260,11.4354,8.6232
2710,0.5226,1.2985,0.0648,0.1605,0.1906,0.3774,1.2511,0.0416,0.1064,0.0376
2711,0.5054,2.1096,1.0555,0.1564,0.4523,0.4176,1.7639,0.9658,0.1179,0.0657
2712,0.5685,0.4237,0.6792,1.9088,1.4146,0.4438,0.3659,0.5757,0.1180,0.0822
2713,0.0619,0.0165,0.0143,0.0133,0.0060,0.0585,0.0149,0.0136,0.0109,0.0057
2714,0.2037,0.3139,0.2582,0.1321,0.1268,0.1168,0.1441,0.2424,0.0307,0.0451
2715,0.9366,0.9560,0.3864,0.0744,0.2040,0.9331,0.0718,0.0829,0.0645,0.1601
2716,0.8967,0.4195,0.1832,0.0856,0.1879,0.6535,0.2949,0.0548,0.0638,0.0223
2717,6.0828,10.7299,7.0971,4.1553,6.6528,5.7411,10.4716,6.7741,3.9667,6.0377
2718,0.0023,0.0065,0.0025,0.0012,0.0010,0.0022,0.0000,0.0024,0.0017,0.0009
2719,3.1502,1.6337,0.5978,0.5756,1.3329,3.1486,0.4094,0.4443,0.5756,1.2821
2720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2721,0.7920,0.6249,0.0821,1.2812,0.0004,0.5555,0.4727,0.0050,0.0000,0.0000
2722,1.9946,1.0343,0.6904,1.5959,1.3172,1.7996,0.9868,0.6469,1.0153,0.8793
2723,0.0047,0.0101,0.0014,0.0440,0.0006,0.0013,0.0035,0.0011,0.0018,0.0006
2724,0.1301,0.1268,0.0737,0.0136,0.0303,0.1008,0.0647,0.0740,0.0138,0.0230
2725,0.9836,1.1219,3.0427,0.4748,1.5582,0.5497,0.2294,0.0665,0.0419,0.0400
2726,0.0134,0.0204,0.0147,0.0126,0.0018,0.0008,0.0111,0.0085,0.0126,0.0000
2727,0.0288,0.0463,0.0696,0.0070,0.0005,0.0015,0.0170,0.0608,0.0040,0.0000
2728,0.6940,1.2657,0.2881,0.5097,0.6232,0.4135,0.9155,0.2325,0.1031,0.0430
2729,0.0351,0.0418,0.0080,0.0117,0.0041,0.0300,0.0083,0.0061,0.0080,0.0041
2730,3.2722,4.8426,1.5239,3.0851,2.6303,3.0885,0.9751,1.4354,0.5019,1.7369
2731,0.0022,0.0112,0.0119,0.0018,0.0001,0.0005,0.0033,0.0041,0.0018,0.0001
2732,0.0275,0.2303,0.1377,0.0449,0.1956,0.0052,0.0089,0.1046,0.0043,0.0032
2733,5.3129,9.1569,11.3653,11.3150,11.4543,5.0021,9.0370,10.9565,11.0771,10.6081
2734,0.1313,0.2094,0.7920,0.1665,0.6681,0.0028,0.0821,0.1854,0.0133,0.0044
2735,0.0644,0.0472,0.0095,0.0040,0.0325,0.0636,0.0444,0.0073,0.0039,0.0325
2736,0.4371,0.2749,0.0345,0.1294,0.0436,0.4186,0.0591,0.0326,0.1292,0.0434
2737,1.0155,0.8487,1.6409,0.5306,0.7652,0.8586,0.8166,1.6010,0.1800,0.6446
2738,0.6036,0.2410,0.5125,1.1903,0.0007,0.1131,0.0000,0.0145,1.1902,0.0007
2739,0.0591,0.0912,0.2298,0.0761,0.1084,0.0080,0.0051,0.0269,0.0689,0.0143
2740,4.8074,8.2903,2.1777,3.5532,1.3364,4.6889,1.2339,1.8773,2.2386,0.9332
2741,0.1584,0.0384,0.0253,0.0066,0.0000,0.1427,0.0099,0.0183,0.0000,0.0000
2742,0.9380,0.4686,0.0312,0.0462,0.5175,0.6466,0.0784,0.0012,0.0242,0.4778
2743,0.0125,0.0017,0.0069,0.0029,0.0131,0.0063,0.0002,0.0033,0.0020,0.0085
2744,0.0829,0.0839,0.0225,0.5142,0.0024,0.0701,0.0646,0.0082,0.0003,0.0024
2745,0.2194,0.3133,0.2431,0.1609,0.2040,0.1569,0.2527,0.2032,0.0455,0.0425
2746,2.7254,1.4069,0.6860,0.1569,0.4943,2.7227,0.2084,0.4252,0.1569,0.4340
2747,0.3737,0.4211,0.6175,0.0853,0.4155,0.0083,0.0646,0.0240,0.0381,0.2394
2748,0.0792,0.4856,0.2096,0.0410,0.2093,0.0034,0.2958,0.0866,0.0134,0.0717
2749,0.4465,0.2518,0.2000,0.1395,0.2712,0.1772,0.1639,0.1309,0.1224,0.2460
2750,0.0023,0.0047,0.0005,0.0100,0.0000,0.0006,0.0021,0.0003,0.0000,0.0000
2751,0.2198,0.1212,0.0684,0.0431,0.2516,0.0002,0.0605,0.0573,0.0431,0.2516
2752,0.7367,0.9453,0.8767,1.7063,0.1757,0.0602,0.6901,0.6938,0.9824,0.0015
2753,0.1602,0.0970,0.0559,0.0215,0.1050,0.0019,0.0500,0.0398,0.0203,0.1044
2754,2.2320,2.6574,1.4057,1.6092,1.3325,1.7909,1.9279,1.1965,1.6041,1.1737
2755,0.7615,3.9111,1.5903,3.0858,2.2604,0.7259,3.3974,1.5421,1.4569,0.4224
2756,0.1272,0.2069,0.9723,0.1597,0.5325,0.0999,0.0638,0.8841,0.1589,0.0198
2757,0.0410,0.0542,0.2085,0.0791,0.1316,0.0058,0.0008,0.0128,0.0676,0.0032
2758,0.5021,0.5186,0.3318,0.9488,0.2239,0.4788,0.4207,0.0302,0.2928,0.1881
2759,0.0824,0.1401,0.5473,0.2899,0.1065,0.0011,0.0216,0.5366,0.0076,0.0053
2760,0.7938,0.3841,0.7999,0.3155,0.4077,0.6811,0.3395,0.7771,0.0756,0.2549
2761,0.1309,0.1109,0.0676,0.0678,0.0526,0.0758,0.0779,0.0116,0.0239,0.0188
2762,0.3642,0.2920,0.1055,0.1861,0.2139,0.3604,0.2785,0.0856,0.1846,0.2137
2763,0.1995,0.1201,0.0216,0.0680,0.0256,0.1919,0.0233,0.0206,0.0679,0.0254
2764,0.0308,0.0350,0.0068,0.0472,0.0000,0.0182,0.0274,0.0020,0.0000,0.0000
2765,0.0171,0.0302,0.0321,0.0353,0.0209,0.0031,0.0083,0.0241,0.0353,0.0000
2766,0.0199,0.1059,0.2520,0.0304,0.0000,0.0023,0.0840,0.1586,0.0304,0.0000
2767,0.0104,0.0003,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001
2768,0.1498,0.0548,0.0771,0.1408,0.1587,0.1450,0.0527,0.0348,0.1397,0.1546
2769,0.3203,0.5752,0.5293,0.1895,0.0258,0.3068,0.5719,0.5293,0.1895,0.0152
2770,0.1642,0.3709,0.0381,0.0314,0.0296,0.1354,0.3648,0.0470,0.0141,0.0055
2771,0.1225,0.3189,0.7255,0.2185,0.0552,0.0202,0.2672,0.1029,0.0091,0.0164
2772,0.2466,0.2557,0.4469,0.1570,0.1476,0.1956,0.2487,0.3187,0.0810,0.1024
2773,0.0688,0.3396,0.0325,0.0393,0.0075,0.0596,0.3319,0.0138,0.0194,0.0034
2774,0.0006,0.0016,0.0003,0.0000,0.0014,0.0000,0.0000,0.0007,0.0000,0.0014
2775,0.8526,1.7862,3.6117,1.0685,0.5019,0.8103,1.2793,1.5295,0.5556,0.2407
2776,0.0004,0.0023,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2777,0.4780,0.3697,0.4989,0.2153,0.5419,0.2814,0.1395,0.0494,0.1119,0.4159
2778,1.9117,2.0402,0.6518,0.6302,0.5957,0.0000,1.2007,0.5719,0.0253,0.3279
2779,1.6325,3.1784,5.7974,1.6143,3.6904,1.4683,2.2592,5.5553,1.4198,1.7817
2780,0.0906,0.0998,0.1501,0.0132,0.7862,0.0472,0.0416,0.0140,0.0048,0.0210
2781,7.1567,1.8997,1.7529,2.2839,1.4572,7.1427,1.8973,1.7504,1.9310,1.4106
2782,0.9830,0.5514,0.3519,0.2768,0.6260,0.7794,0.2668,0.0375,0.0450,0.0991
2783,0.0032,0.0004,0.0040,0.0033,0.0018,0.0015,0.0001,0.0022,0.0033,0.0018
2784,0.1163,0.1947,0.0500,0.0085,0.0666,0.1017,0.1613,0.0077,0.0023,0.0572
2785,3.4025,0.8126,2.1105,0.7165,1.1170,3.1938,0.7015,2.0471,0.0399,0.0203
2786,0.3027,0.3074,0.0628,0.1105,0.1677,0.3006,0.2978,0.0617,0.1103,0.1676
2787,0.0592,0.1888,0.0478,0.0173,0.0000,0.0580,0.1689,0.0477,0.0000,0.0000
2788,0.2292,0.5209,0.3181,0.1910,0.0001,0.1479,0.4650,0.2196,0.0328,0.0000
2789,0.3760,0.4295,0.8461,1.5771,0.2239,0.0473,0.0241,0.4609,1.5283,0.0247
2790,0.4694,0.2150,0.1550,0.1645,0.4004,0.1836,0.1443,0.1195,0.1491,0.3452
2791,0.3999,0.0609,0.1773,0.1866,0.1079,0.0349,0.0000,0.0979,0.1627,0.0106
2792,0.1006,0.3559,0.2398,0.3635,0.2265,0.0480,0.0023,0.0003,0.1252,0.2063
2793,0.6597,0.1994,0.5725,0.1946,0.1722,0.6411,0.1932,0.5255,0.1813,0.1133
2794,1.0740,0.7953,1.4084,2.0108,0.0007,0.4370,0.0299,0.0056,1.9370,0.0006
2795,0.4493,0.9435,3.8693,0.6433,0.9574,0.4079,0.3098,3.7821,0.6411,0.0285
2796,2.7708,1.9660,1.7871,2.3759,2.1893,2.4596,1.3893,1.7639,0.9675,1.4577
2797,1.4282,1.5442,0.3097,0.1838,0.2040,0.3860,0.0834,0.0041,0.0445,0.0867
2798,0.2452,0.3906,0.9116,0.6244,0.2424,0.1753,0.0419,0.6878,0.6235,0.1256
2799,0.0007,0.0028,0.0004,0.0000,0.0000,0.0000,0.0028,0.0005,0.0000,0.0000
2800,0.5844,0.4352,1.9192,0.5336,0.0023,0.3345,0.4120,0.0053,0.1131,0.0020
2801,0.3885,0.4921,0.2729,0.0871,0.4369,0.3432,0.0195,0.0684,0.0226,0.0098
2802,0.2826,0.3144,0.1095,0.2027,0.1983,0.2791,0.2793,0.0982,0.2022,0.1983
2803,3.8277,2.1460,0.8349,0.0856,1.0564,3.8214,0.2729,0.6320,0.0856,0.9109
2804,0.2178,1.2425,6.0985,0.1236,0.0006,0.0098,0.7660,1.0703,0.1236,0.0000
2805,0.4031,0.2174,1.3353,0.5060,0.0005,0.0088,0.1971,0.0061,0.0049,0.0000
2806,0.1305,0.2267,0.0919,0.0544,0.1027,0.0938,0.1773,0.0157,0.0407,0.1016
2807,0.5701,0.1542,0.6118,0.3155,0.3906,0.0360,0.0173,0.1365,0.2269,0.2123
2808,0.0036,0.0035,0.0002,0.0176,0.0000,0.0015,0.0026,0.0000,0.0000,0.0000
2809,0.2114,0.2374,0.2279,0.0450,0.1534,0.1888,0.0031,0.0327,0.0310,0.1374
2810,1.1665,0.2865,0.1582,0.1350,0.0001,1.1163,0.0716,0.0667,0.0000,0.0000
2811,0.0994,0.0619,0.0329,0.0437,0.1067,0.0760,0.0093,0.0042,0.0036,0.0113
2812,0.3141,0.4047,0.3389,0.1906,0.2569,0.1956,0.2943,0.1021,0.0756,0.0271
2813,0.1758,0.1615,0.2125,0.0383,0.1412,0.1640,0.0041,0.0275,0.0121,0.1154
2814,0.5800,3.1988,0.2587,0.2160,0.8584,0.4674,2.2001,0.1596,0.0741,0.0991
2815,0.0409,0.1232,0.1818,0.1814,0.0079,0.0017,0.0132,0.0668,0.1811,0.0000
2816,0.1469,0.1830,0.1727,0.0401,0.1340,0.1123,0.0324,0.0373,0.0352,0.1259
2817,0.1866,0.9720,0.1997,0.1079,0.5227,0.1327,0.8822,0.1979,0.1079,0.5016
2818,0.0872,0.1024,0.7750,0.0782,0.1809,0.0011,0.0107,0.0683,0.0711,0.0000
2819,2.3651,1.4051,0.7902,2.9322,2.8994,2.0499,1.3559,0.7816,1.4147,1.7294
2820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2821,4.0496,7.1066,2.8892,2.4615,7.5526,3.7465,7.0676,2.6666,2.3121,7.1262
2822,0.0258,0.0200,0.1264,0.0081,0.0366,0.0184,0.0000,0.0013,0.0019,0.0141
2823,1.8513,1.0383,0.6735,0.1410,0.1371,1.4792,0.7170,0.0625,0.1158,0.0518
2824,1.6406,2.1636,1.0259,0.8587,0.9157,1.4551,2.1116,0.6526,0.0823,0.1231
2825,0.0071,0.0323,0.0031,0.0000,0.0000,0.0008,0.0289,0.0031,0.0000,0.0000
2826,1.3298,0.8838,0.2153,0.2930,0.1662,1.3291,0.1331,0.1562,0.2930,0.1504
2827,0.5979,0.7669,9.4985,0.1386,0.1661,0.0473,0.6753,9.0616,0.0064,0.1088
2828,0.2637,0.2626,0.8993,0.1892,0.4829,0.1208,0.0934,0.0779,0.1232,0.2508
2829,0.0261,0.0427,0.0388,0.0098,0.0105,0.0260,0.0167,0.0388,0.0098,0.0105
2830,0.0319,0.0756,0.2851,0.1477,0.0724,0.0087,0.0092,0.1002,0.1432,0.0026
2831,0.2111,0.0248,0.0619,0.1198,0.0238,0.1820,0.0000,0.0515,0.1158,0.0038
2832,0.2737,0.1953,1.3853,0.0204,0.0003,0.2164,0.0259,0.0252,0.0066,0.0002
2833,0.0113,0.0059,0.0008,0.0039,0.0004,0.0111,0.0054,0.0008,0.0037,0.0001
2834,0.1320,0.1223,0.1866,0.0602,0.1851,0.0827,0.0445,0.0049,0.0098,0.0278
2835,0.0441,0.0779,0.1729,0.0399,0.0466,0.0020,0.0081,0.0245,0.0029,0.0156
2836,0.0064,0.0328,0.0140,0.0005,0.0000,0.0001,0.0237,0.0047,0.0000,0.0000
